2026-05-22 00:19:57,748;L;0.018666666666666668;ENC;0;9.948236633730144e-07
2026-05-22 00:19:57,957;L;0.018666666666666668;DEC;0;1.768588524740126e-06
2026-05-22 00:19:58,262;H;0.018666666666666668;ENC;0;2.8791022277891e-06
2026-05-22 00:19:58,497;H;0.018666666666666668;DEC;3;2.2082881387177622e-06
2026-05-22 00:19:58,612;L;0.018758620689655173;ENC;0;1.1254020198003393e-06
2026-05-22 00:19:58,823;L;0.018758620689655173;DEC;0;1.8197268712869441e-06
2026-05-22 00:19:59,111;H;0.018758620689655173;ENC;0;2.731989821696327e-06
2026-05-22 00:19:59,350;H;0.018758620689655173;DEC;3;2.243776029620739e-06
2026-05-22 00:19:59,457;L;0.01885057471264368;ENC;0;1.0526683762340201e-06
2026-05-22 00:19:59,670;L;0.01885057471264368;DEC;0;1.8362322178218885e-06
2026-05-22 00:19:59,949;H;0.01885057471264368;ENC;0;2.6537996733114226e-06
2026-05-22 00:20:00,189;H;0.01885057471264368;DEC;3;2.2444050892673738e-06
2026-05-22 00:20:00,330;L;0.018942528735632184;ENC;0;1.3853777524880319e-06
2026-05-22 00:20:00,631;L;0.018942528735632184;DEC;0;2.6692450000074035e-06
2026-05-22 00:20:00,916;H;0.018942528735632184;ENC;0;2.7099796140943665e-06
2026-05-22 00:20:01,154;H;0.018942528735632184;DEC;4;2.234550653444632e-06
2026-05-22 00:20:01,269;L;0.019034482758620692;ENC;0;1.1297435346500382e-06
2026-05-22 00:20:01,480;L;0.019034482758620692;DEC;0;1.8123367623804082e-06
2026-05-22 00:20:01,764;H;0.019034482758620692;ENC;0;2.71043529698212e-06
2026-05-22 00:20:01,996;H;0.019034482758620692;DEC;3;2.180278890987796e-06
2026-05-22 00:20:02,105;L;0.019126436781609198;ENC;0;1.072639495057704e-06
2026-05-22 00:20:02,320;L;0.019126436781609198;DEC;0;1.8530642475237227e-06
2026-05-22 00:20:02,606;H;0.019126436781609198;ENC;0;2.7150726830651624e-06
2026-05-22 00:20:02,851;H;0.019126436781609198;DEC;4;2.290394514863809e-06
2026-05-22 00:20:02,970;L;0.019218390804597703;ENC;0;1.1708688613754642e-06
2026-05-22 00:20:03,183;L;0.019218390804597703;DEC;0;1.8316817821698243e-06
2026-05-22 00:20:03,463;H;0.019218390804597703;ENC;0;2.66617328720758e-06
2026-05-22 00:20:03,696;H;0.019218390804597703;DEC;3;2.1993112178540402e-06
