2026-05-21 12:36:22,455;L;0.036000000000000004;0;1.1801519307086306e-06;2.3361831782035597e-06
2026-05-21 12:36:23,106;H;0.036000000000000004;7;3.5239277723562873e-06;2.5172914256922967e-06
2026-05-21 12:36:25,922;L;0.03642105263157895;0;1.2998627623733904e-06;2.369687059399439e-06
2026-05-21 12:36:26,569;H;0.03642105263157895;6;3.2474637029898275e-06;2.6891926832777784e-06
2026-05-21 12:36:28,334;L;0.0368421052631579;0;1.4844095544548968e-06;3.2236072178294657e-06
2026-05-21 12:36:29,005;H;0.0368421052631579;6;3.515624089078922e-06;2.6745452574002706e-06
2026-05-21 12:36:44,498;L;0.037263157894736845;0;1.206417188111325e-06;2.5790444356467145e-06
2026-05-21 12:36:45,095;H;0.037263157894736845;4;3.1839522376001264e-06;2.3996587128074158e-06
2026-05-21 12:36:47,078;L;0.03768421052631579;0;1.6521267227812367e-06;2.8667209405851974e-06
2026-05-21 12:36:47,729;H;0.03768421052631579;10;3.2221730296369782e-06;2.758880722845644e-06
2026-05-21 12:36:49,364;L;0.03810526315789474;0;1.8410337821784772e-06;3.794897613873461e-06
2026-05-21 12:36:50,029;H;0.03810526315789474;8;3.510924039567339e-06;2.5762192674820013e-06
