2026-06-05 20:54:24,143;H;0.008;ENC;0;4.447639142849117e-06
2026-06-05 20:54:24,167;H;0.008;DEC;0;2.8815088570419384e-06
2026-06-05 20:54:24,189;L;0.008;ENC;0;3.067021714222002e-06
2026-06-05 20:54:24,308;L;0.008;DEC;0;1.6354344142980284e-05
2026-06-05 20:54:24,335;H;0.008444444444444445;ENC;0;3.739095714341342e-06
2026-06-05 20:54:24,357;H;0.008444444444444445;DEC;0;2.9311997142420816e-06
2026-06-05 20:54:24,379;L;0.008444444444444445;ENC;0;3.0057752857309036e-06
2026-06-05 20:54:24,474;L;0.008444444444444445;DEC;0;1.2993152285811708e-05
2026-06-05 20:54:24,500;H;0.008888888888888889;ENC;0;3.620357285789006e-06
2026-06-05 20:54:24,523;H;0.008888888888888889;DEC;0;2.9305328567456206e-06
2026-06-05 20:54:24,545;L;0.008888888888888889;ENC;0;3.019316857197347e-06
2026-06-05 20:54:24,657;L;0.008888888888888889;DEC;0;1.5476025428532532e-05
2026-06-05 20:54:24,684;H;0.009333333333333334;ENC;0;3.712939428753868e-06
2026-06-05 20:54:24,707;H;0.009333333333333334;DEC;0;2.9133778571122094e-06
2026-06-05 20:54:24,728;L;0.009333333333333334;ENC;0;2.948541142879029e-06
2026-06-05 20:54:24,829;L;0.009333333333333334;DEC;0;1.3871980285719994e-05
2026-06-05 20:54:24,857;H;0.009777777777777778;ENC;0;3.7578268569892056e-06
2026-06-05 20:54:24,882;H;0.009777777777777778;DEC;0;3.220427857351232e-06
2026-06-05 20:54:24,902;L;0.009777777777777778;ENC;0;2.875101571329911e-06
2026-06-05 20:54:25,011;L;0.009777777777777778;DEC;0;1.4841063714292042e-05
2026-06-05 20:54:25,038;H;0.010222222222222223;ENC;0;3.812030571550297e-06
2026-06-05 20:54:25,061;H;0.010222222222222223;DEC;0;2.873902999843787e-06
2026-06-05 20:54:25,082;L;0.010222222222222223;ENC;0;2.9268255714539137e-06
